id,inventory,name,price,sku
0002f3fe-f026-44e0-b2b7-c3666365b926,6,41c017c771ab4cb7ba74181d53226503,46.23,c6f8950c8ebd668f5ea88f5e1a9c3ae4
0038dd13-b454-4c80-8d68-13f49ee242ca,8,ae3da6a21372e171db4b573374a59db5,121.00,0ea4c0d62df1c2194953c84b7ad4ffcf
0040f85e-05af-4a4e-a9b4-ab12797f5b55,6,d1cfdaa7365fa44f2aefe97ebfdd7b44,2.40,2fbbf83740e57e30133b4974f350f696
004934f5-57b1-4080-b54c-69066dfbaa4a,5,f16e5ba1ff5d6abe25f6d8165b96710e,82.16,ee1c3a3efa55376db15524264714bf0c
0049ebd8-176e-407d-b1e5-bb6037ab3af6,3,c65d87f18668ccc75236d774dc0da64c,49.28,8360a8ec016d1f33feb3874537a8e64b
007f3e69-f04c-4ab5-9d78-7a000d7373d1,5,afc2b5c31ecc92b30b64095b452a9775,7.52,aa3699e9241a0c501e359e12ef3f4b75
0083e51f-b753-4c96-a513-b8becdf5ca08,7,7bab2f706949812fc7947a6f814c12e8,131.79,2ef5d747ab411b448244cb40576a8e7c
008a17cc-a77f-4696-8759-93fbf4dc46b4,6,989145d8b04e17cb9d4e47db6c40d8aa,60.85,97c5ee63ba1f66f4e1c34011f6829af8
0092bdb4-6fc0-4924-820c-39d2381eb9d7,8,17bb357611076c09c50f65aa867a9722,9.76,0c7b4965258d22a4acef3e53ec2cd0e1
00acb682-8541-4c97-85b7-8f14f546bcc3,4,b4c76db2b79783ce2cae6629da695693,5.00,c4a1c0ac8022c1a1717aa5e455cbb424
00d140c1-80ff-46ba-a077-b9b0f3752214,0,6e1691a3bce824de7d64ad0f43985cf7,61.02,5d5d47d72d2c0b841778fd2b7b46f5f1
00e25a75-b213-47a0-bc90-81b0f18e458d,8,f8ed8e24c2bc91ccfc0bf234d4ae3365,1.00,6448d5a13b7aa8c23367febbbe3b7cd3
00e92a3f-8ff4-4611-99e1-89db77191690,2,73ee3acbe6ffb86b0474f27bb3694be6,91.76,3b378bfb0b6d6186d473a3bf1ebefc40
